date,followers_count,following_count,media_count,engagement_rate,average_likes,average_comments,comments_to_likes_ratio,weekly_posts,artist_name
2024-11-08,64214103,261,313,1.605%,1023846.0,6957.2,0.680%,4.0,Maluma
2024-11-07,64202540,261,312,1.595%,1017323.8,6932.2,0.681%,3.0,Maluma
2024-11-06,64182494,261,312,1.567%,998827.1,6852.8,0.686%,5.0,Maluma
2024-11-05,64159595,261,312,1.442%,918674.9,6591.1,0.717%,5.0,Maluma
2024-11-04,64125434,261,312,1.313%,835854.8,5972.4,0.715%,5.0,Maluma
2024-11-03,64079066,261,311,1.232%,787034.5,2685.3,0.341%,4.0,Maluma
2024-11-02,64017472,261,310,1.198%,764378.3,2661.2,0.348%,3.0,Maluma
2024-11-01,63987024,261,309,0.987%,628907.3,2416.7,0.384%,3.0,Maluma
2024-10-31,63975826,261,309,1.075%,684837.5,3059.6,0.447%,3.0,Maluma
2024-10-30,63981658,261,307,1.074%,684410.6,3055.9,0.447%,1.0,Maluma
2024-10-29,63983749,261,307,1.073%,683743.8,3053.0,0.447%,1.0,Maluma
2024-10-28,63986412,261,307,1.071%,682548.7,3047.3,0.446%,1.0,Maluma
2024-10-27,63988993,261,307,1.217%,775525.6,3234.3,0.417%,2.0,Maluma
2024-10-26,63990477,261,307,1.216%,774905.3,3232.3,0.417%,2.0,Maluma
2024-10-25,63992804,261,306,1.214%,773894.1,3225.2,0.417%,1.0,Maluma
2024-10-24,63996800,261,306,1.213%,772982.8,3215.9,0.416%,1.0,Maluma
2024-10-23,64001226,261,306,1.210%,771492.1,3211.6,0.416%,1.0,Maluma
2024-10-22,64005699,261,306,1.205%,768224.4,3199.6,0.416%,1.0,Maluma
2024-10-21,64007573,261,306,1.146%,730546.1,3130.8,0.429%,1.0,Maluma
2024-10-20,64011027,261,305,1.145%,729861.4,3124.8,0.428%,0.0,Maluma
2024-10-19,64007146,261,305,1.144%,729129.8,3114.5,0.427%,0.0,Maluma
2024-10-18,64013357,261,305,1.143%,728357.2,3108.0,0.427%,1.0,Maluma
2024-10-17,64015263,260,305,1.141%,727516.6,3098.2,0.426%,1.0,Maluma
2024-10-16,64015612,260,305,1.139%,726342.2,3089.7,0.425%,1.0,Maluma
2024-10-15,64014465,260,305,1.137%,724818.0,3077.8,0.425%,1.0,Maluma
